"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"NCCB"	0	0	0	0	0	0	4	4	2	6	2	14	0	0	0	0	0	6	0	4	0	2	0	0	0	2	0	0	2	0	4	2	10	2	6	0	0	2	0	6	2	0	4	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	2	0	16	0	0	0	0	4	0	2	0	4	0	2	2	4	0	2	0	2	0	0
"NCCC"	2	0	0	8	0	0	4	0	4	6	2	8	0	0	2	4	4	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	4	4	8	0	0	0	2	4	0	0	4	0	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	2	2	0	0	6	4	8	0	4	0	0	0	4
"NCCH"	0	0	2	0	0	0	0	2	2	0	0	4	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8
"NCCN"	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
"NCCX"	0	0	2	0	0	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	2	4	0
"NCCY"	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCRA"	2	2	0	0	0	0	0	0	2	6	0	10	0	8	8	4	0	4	0	4	6	0	0	4	0	0	0	2	0	2	2	0	2	2	4	0	0	0	0	6	0	2	2	0	0	2	2	0	4	6	2	0	0	8	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	2	0	0	0	6	2	4	4	4	0	12
"NCRAN"	0	0	0	0	0	0	0	0	4	10	0	2	0	6	0	0	2	2	0	0	20	0	0	0	0	2	0	0	0	0	6	0	0	2	0	0	0	0	0	4	0	0	4	2	0	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	4
"NCRB"	0	0	2	0	0	0	6	0	2	4	0	0	0	2	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	8	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	2	6	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	4	0	2	0
"NCRBN"	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCRC"	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	4	0	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	2	0	0	0	2
"NCRCN"	0	0	0	0	0	0	2	0	0	2	0	0	0	4	0	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	10	0	0	2	2	0	0	0	4	2	0	0	2	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	2	4
"NCRY"	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
"NCRYN"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
"NCZA"	4	4	2	16	2	0	14	27	10	62	4	72	2	12	17	0	14	17	4	7	8	2	0	0	11	2	0	4	2	0	16	8	14	30	20	0	0	8	10	40	4	0	8	0	0	4	9	0	28	2	10	2	6	23	0	0	2	0	8	4	52	0	0	2	2	6	2	2	0	9	2	18	8	18	2	18	4	4	2	28
"NDH|RequiresSNPConfirmation"	2	10	0	4	2	0	8	2	4	73	4	42	2	6	6	4	4	15	2	4	0	2	4	2	10	4	1	8	4	4	69	3	29	15	14	2	0	5	9	17	0	5	7	0	0	0	1	2	7	4	2	2	2	18	0	0	2	0	4	4	8	0	0	0	10	12	2	10	2	6	2	7	5	5	2	18	2	3	0	21
"NDM"	0	0	2	2	0	0	4	0	4	10	2	4	0	2	8	0	6	0	0	0	2	0	0	0	6	0	0	6	2	0	4	2	0	6	2	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	8	0	0	0	0	0	2	0	4	0	4	0	0	0	4	0	0	0	0	4	0	2	0	6	2	8	0	2	0	8
"NFSA"	4	4	0	2	1	0	1	0	2	4	0	2	0	4	0	0	0	0	0	0	33	0	0	0	1	12	0	0	0	18	0	0	0	6	0	4	0	2	0	2	0	0	2	0	1	0	0	2	0	55	0	0	0	5	0	0	0	0	4	2	11	0	0	0	84	0	2	0	4	0	0	2	0	3	0	0	0	1	0	2
"NFXB|RequiresSNPConfirmation"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	2	0	2	0	2	0	0	0	2	4	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	44	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"NHAA"	5	8	0	2	1	0	6	0	0	4	0	0	0	4	4	5	0	0	0	0	46	0	4	0	5	17	0	4	2	41	4	0	0	0	3	0	0	2	2	4	2	0	0	0	0	0	0	0	2	126	2	0	0	2	0	0	0	0	0	0	22	0	0	0	94	0	0	6	0	2	0	2	0	6	0	5	0	0	0	16
"NHAB"	8	7	0	4	2	0	0	3	2	18	0	0	0	6	0	6	0	4	0	0	28	0	0	0	0	12	0	4	0	49	4	2	0	2	4	0	0	0	0	2	0	0	0	2	0	0	6	0	6	125	0	0	0	10	0	0	2	0	0	0	15	0	0	0	130	2	0	12	4	0	0	4	2	8	0	2	0	6	0	10
"NHLF"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	2	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	2
"NIA"	0	0	2	3	0	0	2	2	4	19	0	12	0	6	2	0	5	8	0	2	0	0	0	0	4	0	2	4	0	0	11	0	5	19	2	0	0	4	1	18	0	2	4	0	4	0	8	2	6	0	0	0	0	4	0	0	0	0	4	0	10	0	0	2	4	4	0	6	0	2	0	8	8	6	6	6	0	4	4	27
"NIKA"	4	9	0	0	0	0	0	2	2	38	0	2	0	2	8	7	0	8	0	0	89	2	0	0	11	11	6	0	2	70	8	0	2	4	4	0	0	0	0	4	1	0	2	0	0	2	2	4	4	178	2	0	4	4	0	0	2	0	0	2	35	0	0	0	110	0	0	1	5	5	0	2	2	4	2	8	0	0	0	2
"NIKB"	2	6	0	4	0	0	4	0	4	4	2	2	0	4	0	5	2	6	0	0	51	0	0	2	10	9	0	0	0	42	4	2	0	2	3	4	0	0	0	4	3	2	2	0	0	0	0	0	1	144	0	0	3	17	0	0	1	0	0	0	13	0	0	0	103	2	0	5	2	3	2	2	6	2	0	6	0	0	0	2
"NIKC"	0	6	2	1	0	0	6	2	8	0	2	6	0	2	0	8	4	2	0	0	55	0	0	0	12	7	3	0	0	39	4	2	0	0	4	2	0	0	0	6	0	0	2	0	0	2	0	0	1	143	5	0	3	9	0	0	2	0	2	0	25	0	1	0	92	2	0	4	2	0	0	0	2	3	0	4	0	2	0	0
"NIKD"	5	6	1	5	0	0	2	1	2	7	4	0	0	0	4	2	0	0	0	0	31	0	0	0	9	9	4	0	0	31	6	2	4	4	0	0	0	0	4	0	0	0	6	0	0	0	0	0	2	113	2	0	0	6	0	0	1	0	2	0	10	0	0	2	41	2	0	3	2	2	0	2	2	1	0	3	0	0	2	12
"NIKE"	1	3	2	4	4	0	0	2	4	0	2	4	0	2	6	0	0	0	0	0	35	0	0	0	6	20	0	2	0	21	8	3	2	3	8	0	0	0	0	6	0	0	2	0	0	0	0	0	0	102	0	2	2	7	0	0	1	0	2	0	15	0	0	0	43	0	0	5	0	2	0	8	2	2	2	9	0	0	2	0
"NIKR"	0	3	0	3	0	0	0	0	0	4	0	2	0	0	0	3	0	0	4	0	37	0	0	0	2	4	1	0	0	13	2	1	0	3	2	1	0	4	0	2	2	0	0	0	0	0	0	0	3	72	4	2	0	1	0	0	0	0	0	0	8	0	0	0	83	0	0	0	3	0	0	0	2	1	0	3	0	0	0	0
"NIMA"	2	0	0	2	2	0	2	0	2	6	0	0	0	0	0	0	2	2	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	2	2	2	0	0	0	12
"NIMB"	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"NIMC"	0	0	0	0	0	2	2	0	0	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
"NIMD"	0	0	0	0	0	0	2	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	2	0	8	0	0	0	2	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0
"NIME"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	2	0
"NIMF"	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"NIMH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NIMI"	0	0	0	0	0	0	0	0	0	8	0	4	0	2	0	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	6	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	2
"NIMJ"	0	0	0	2	0	0	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
"NIRA"	0	0	2	0	0	0	4	0	4	0	2	4	0	4	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	4	4	0	2	4	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	2	0	6	0	2	0	0	0	2
"NIRB"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
"NIRC"	0	0	0	0	0	0	2	0	2	14	0	0	0	2	2	0	0	6	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	2	0	4	2	0	6	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	2	6	0	6	0	2	0	2
"NIRD"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NIXA"	2	0	0	0	2	0	0	0	2	4	2	0	0	0	0	2	2	4	0	0	0	0	0	0	2	0	2	0	2	2	2	0	0	0	0	0	0	4	0	0	0	0	4	0	0	2	0	0	0	0	0	2	2	4	0	0	0	0	0	0	4	0	0	0	2	0	2	0	2	4	0	0	2	2	0	0	0	6	0	2
"NMCA"	4	0	0	8	0	0	2	0	2	0	0	0	2	2	2	0	0	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	6	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	0	0	4	0	6	0	0	0	0	0	4
"NMPC"	0	1	1	2	0	0	2	0	0	3	0	4	0	0	2	0	0	4	0	0	13	0	0	0	0	12	0	0	0	10	2	2	0	0	6	3	0	0	0	2	1	0	4	0	0	0	0	0	1	24	4	0	2	0	0	0	0	0	0	0	2	0	0	0	124	0	0	0	0	2	0	0	0	2	2	4	0	0	0	0
"NMTR"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NORA"	2	0	0	6	2	0	8	2	8	14	6	2	4	10	10	0	0	12	4	2	2	6	2	0	12	0	0	8	0	0	4	4	3	14	8	0	0	6	12	16	4	0	2	0	0	2	0	2	20	0	0	2	2	10	0	0	0	0	4	2	6	0	0	0	31	2	0	2	4	8	0	2	12	4	0	8	2	2	2	26
"NORB"	2	0	0	4	0	0	2	0	2	14	2	2	0	0	6	0	6	4	0	2	2	0	2	0	2	2	0	2	0	0	4	0	2	5	4	0	0	2	0	4	2	2	2	0	2	0	0	0	2	0	6	2	2	0	0	0	0	0	2	0	2	0	0	2	24	2	2	0	0	8	0	4	4	0	0	2	0	4	2	8
"NORBD"	0	0	0	2	0	0	0	0	0	6	0	0	2	4	0	0	0	8	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	3	0	0	2	0	2	8	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	33	2	0	0	0	8	0	0	2	0	0	0	2	0	2	4
"NORM"	4	0	0	0	2	0	2	4	8	24	2	22	2	8	6	2	2	6	0	0	0	0	0	2	8	0	0	6	6	2	8	4	12	4	4	0	6	2	0	0	0	0	4	0	0	2	0	4	10	0	0	0	0	8	0	0	0	0	4	0	18	0	0	2	0	4	0	6	0	2	0	0	2	8	0	0	0	2	4	4
"NORMD"	0	0	4	2	0	0	6	2	4	10	0	4	0	2	2	0	2	2	0	2	0	2	2	0	2	4	0	2	0	0	4	0	4	2	2	0	6	4	0	4	0	0	4	0	0	0	4	0	8	0	2	2	0	2	0	0	8	0	0	0	6	0	0	2	0	0	2	0	0	4	0	2	4	10	2	4	2	2	0	4
"NOVA"	7	2	0	3	2	0	7	6	9	16	4	27	2	11	21	2	2	10	0	1	0	4	3	0	0	4	2	2	0	6	10	8	15	11	18	2	0	4	3	4	0	0	16	0	0	6	8	0	13	2	6	2	2	8	0	0	4	0	0	0	13	0	0	0	4	0	0	14	2	10	4	6	5	23	0	14	2	0	8	19
"NPMA"	0	0	0	2	0	0	0	0	6	4	0	0	0	14	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	2
"NPS"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0
"NREB"	2	0	0	6	0	0	4	0	4	8	2	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	2	2	2	2	0	0	0	0	0	0	0	0	9	0	0	0	2	2	0	0	0	0	0	0	10	0	0	0	0	0	4	0	0	2	0	2	4	0	0	0	0	0	0	2
"NRSA"	2	0	0	4	0	0	2	2	4	8	0	0	0	0	2	0	4	6	0	0	0	0	0	0	4	0	0	2	0	0	6	0	0	0	10	0	0	2	0	6	0	0	2	0	0	0	2	2	4	0	0	0	2	0	0	0	2	0	0	4	2	0	0	0	2	0	2	2	0	4	4	8	2	8	0	4	0	0	2	2
"NRSD"	0	0	0	0	0	0	0	0	2	4	0	0	2	0	4	0	2	4	0	0	0	0	2	0	0	0	0	4	2	0	2	0	0	0	4	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
"NRSR"	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"NRSS"	0	0	0	2	0	0	0	0	0	4	2	0	0	2	0	2	0	8	0	0	0	0	0	0	0	2	0	2	0	0	4	4	0	4	4	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	2	0	0	0	2	2
"NSHR"	2	2	2	2	0	0	2	4	4	8	2	14	2	6	4	0	0	6	2	0	0	0	2	0	2	0	0	0	2	0	2	0	6	4	6	2	0	0	2	4	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	4	0	6	0	0	0	4
"O23S|RequiresSNPConfirmation"	1755	780	682	5713	804	134	3720	429	6918	7227	1825	493	634	3075	3604	1423	3256	8852	995	461	2282	452	1049	604	4146	1432	287	1652	908	1337	7157	1319	964	4150	6605	846	536	2213	1338	5446	1445	988	3436	647	498	969	1286	1151	4152	345	3131	843	2300	5622	81	297	1080	190	470	1254	6462	1	7	300	4575	1412	898	2853	810	4051	775	2949	1906	4599	685	5941	1721	1217	1284	11055
"OCH"	4	0	0	2	0	0	2	2	8	4	2	0	0	0	6	0	0	6	2	0	2	2	0	0	2	4	0	2	0	0	6	0	2	2	10	0	0	6	0	6	0	2	2	2	0	0	0	2	8	0	4	4	2	6	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	4	0	4	2	8	0	6	0	0	4	8
"OHIO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OKP"	0	4	4	0	2	0	0	4	4	12	2	8	0	10	8	2	2	2	0	0	0	0	0	2	2	0	2	4	4	0	16	0	2	2	12	2	2	2	2	10	2	0	2	0	0	2	2	0	8	2	6	2	0	4	0	0	2	0	0	0	10	0	0	0	2	4	2	0	0	2	0	0	14	16	4	10	2	4	0	8
"OLEB"	11	8	8	13	12	0	14	4	21	46	7	52	4	12	30	3	9	18	4	1	2	2	4	0	24	2	0	6	6	6	25	6	25	28	18	0	11	10	18	28	0	6	7	0	0	0	5	3	16	4	8	4	7	19	0	4	14	1	4	5	38	0	0	0	12	4	2	8	2	2	4	4	9	22	4	16	2	0	5	17
"OLEC"	10	0	0	3	2	0	8	2	10	61	8	62	0	6	16	6	12	16	0	0	10	2	4	4	6	12	2	10	6	2	40	6	24	13	9	4	2	6	8	29	4	2	24	0	1	2	12	0	11	6	12	6	18	24	0	0	6	0	4	6	27	0	0	0	18	8	2	12	0	12	1	10	11	27	6	27	4	4	2	28
"OLED"	2	0	0	2	0	0	6	6	0	6	2	0	0	0	6	2	4	2	0	0	2	0	0	0	0	2	2	2	0	0	4	0	2	8	2	0	0	0	0	6	2	0	2	2	0	0	4	0	2	0	6	0	0	6	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	6	0	0	0	2	2	6	0	0	0	10
"OLEI"	2	0	0	4	0	0	4	2	6	14	0	4	0	4	6	0	2	0	0	2	0	0	0	0	2	2	0	2	0	2	6	0	2	6	6	0	0	0	2	2	0	0	2	0	0	0	2	0	6	0	2	0	2	2	0	0	0	2	0	0	2	0	0	0	6	0	0	8	0	0	0	0	0	4	0	6	0	0	0	16
"OMP36|RequiresSNPConfirmation"	3	11	2	0	0	0	2	0	2	12	2	3	0	1	0	3	2	6	0	0	23	0	2	0	4	11	0	0	0	19	0	0	0	2	6	2	0	7	0	0	0	0	4	0	0	2	0	0	2	38	0	0	2	2	0	0	0	0	0	2	6	0	0	2	83	0	0	4	2	0	0	2	0	4	0	6	0	1	0	2
"OMP37"	0	0	0	0	0	0	4	0	0	7	0	2	0	0	0	0	0	12	0	0	0	0	2	2	0	0	0	2	0	0	2	0	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	18	0	0	0	33	0	0	0	0	4	0	0	0	4	0	0	0	0	0	4
"OMP38"	2	0	0	0	2	0	4	2	0	8	2	10	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	4	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0	0	0	6	0	6	0	2	2	0	0	2
"OMPD"	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0
"OMPF|RequiresSNPConfirmation"	2	0	2	4	0	0	2	0	8	10	4	4	0	14	8	0	8	10	0	0	6	2	0	0	6	2	0	0	4	7	4	2	2	8	8	6	2	2	2	2	0	2	6	0	2	2	6	0	8	8	4	0	2	4	0	0	2	0	2	4	0	0	0	0	97	4	4	2	0	2	0	0	8	10	2	16	4	0	0	14
"OMPFB|RequiresSNPConfirmation"	0	3	0	1	0	0	2	0	4	4	2	0	0	2	0	1	4	8	0	0	41	2	0	0	5	4	1	0	0	34	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	87	0	0	2	2	0	0	0	0	0	0	23	0	0	0	111	2	0	2	0	4	0	0	2	2	0	4	0	0	0	4
"OMPR"	2	0	2	2	0	0	2	0	8	21	2	32	0	6	4	0	4	4	0	0	0	0	0	0	0	0	0	9	4	0	12	2	8	4	2	0	2	0	0	0	2	0	6	0	0	0	10	0	1	2	5	0	0	22	0	0	2	0	2	0	6	0	0	0	9	0	4	0	0	0	2	2	6	13	0	6	0	0	0	15
"OPCM"	0	6	2	6	0	0	0	2	2	4	0	16	0	2	0	0	0	4	0	2	0	0	0	0	2	0	0	2	0	0	6	0	8	2	2	0	0	2	0	4	0	0	0	0	2	0	2	2	6	2	2	0	0	2	0	0	0	2	6	2	2	0	0	0	4	0	4	0	0	0	4	0	2	6	0	4	2	2	0	4
"OPMB"	2	2	0	0	0	0	0	4	12	18	4	10	0	0	4	0	4	10	0	0	2	0	0	0	4	0	0	8	2	4	22	2	8	1	18	0	0	4	2	10	0	2	4	0	2	2	0	6	8	0	12	0	2	8	0	0	0	0	4	0	14	0	0	2	78	0	0	4	2	8	0	8	6	12	4	0	2	0	4	16
"OPMD"	2	2	8	2	2	0	10	6	0	8	4	10	0	2	8	2	6	10	0	4	0	2	0	0	16	0	0	4	2	0	16	2	10	6	0	0	0	0	4	10	0	2	2	0	0	0	0	0	3	0	2	0	2	8	0	0	2	0	2	2	12	0	0	2	85	6	2	0	0	0	0	2	6	8	0	6	0	0	2	8
"OPMH"	2	2	2	8	4	0	6	2	16	18	2	20	2	8	2	6	4	6	0	0	0	0	0	0	4	2	2	2	8	4	14	8	14	7	8	0	4	4	0	6	2	0	6	0	0	4	4	0	23	0	4	6	0	2	0	0	2	2	0	0	6	0	0	0	86	5	0	2	0	2	0	16	7	16	2	2	8	4	6	12
"OPRA"	0	2	1	4	2	0	2	2	6	20	2	13	2	4	12	0	0	2	0	0	2	0	0	0	0	2	0	4	0	0	4	0	8	2	10	0	0	0	4	2	2	2	0	0	0	0	0	2	10	2	2	0	0	6	0	0	0	0	2	0	0	0	0	0	4	4	4	2	0	8	2	2	6	4	2	8	0	0	4	8
